[2018-09-11 20:18:21] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:37:24] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:37:24] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:42:14] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:42:15] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:42:16] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 14:42:16] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 14:42:16] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 14:42:16] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 14:42:16] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1082136832]
[2018-11-25 14:42:16] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1090529536]
[2018-11-25 14:42:16] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 14:42:16] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1115707648]
[2018-11-25 14:42:16] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1124100352]
[2018-11-25 14:43:46] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:43:47] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:43:47] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 14:43:47] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 14:43:47] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 14:43:47] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 14:43:47] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2127563008]
[2018-11-25 14:43:47] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2135955712]
[2018-11-25 14:43:47] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 14:43:47] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1660933888]
[2018-11-25 14:43:47] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1652541184]
[2018-11-25 14:45:03] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:45:04] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:45:04] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 14:45:04] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 14:45:04] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 14:45:04] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 14:45:04] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[363128576]
[2018-11-25 14:45:04] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[354735872]
[2018-11-25 14:45:04] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 14:45:04] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-142612736]
[2018-11-25 14:45:04] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-151005440]
[2018-11-25 14:47:11] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:47:12] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:47:13] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 14:47:13] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 14:47:13] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 14:47:13] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 14:47:13] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[898152192]
[2018-11-25 14:47:13] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[889759488]
[2018-11-25 14:47:13] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 14:47:13] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[394258176]
[2018-11-25 14:47:13] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[385865472]
[2018-11-25 14:55:58] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 14:55:59] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:04:39] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:04:40] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:04:40] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:04:40] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:04:40] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 15:04:40] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:04:40] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[2023696128]
[2018-11-25 15:04:40] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1946154752]
[2018-11-25 15:04:40] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:04:40] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1920976640]
[2018-11-25 15:04:40] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1912583936]
[2018-11-25 15:04:56] | CInterfaceManager.cpp-L1208: getfcnt [953], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:04:56] | CInterfaceManager.cpp-L1208: getfcnt [15], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:04:56] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-25 15:04:56] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-11-25 15:04:57] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-25 15:04:57] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-11-25 15:05:14] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:05:15] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:05:15] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:05:15] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:05:15] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 15:05:15] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:05:15] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[444581632]
[2018-11-25 15:05:15] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[436188928]
[2018-11-25 15:05:15] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:05:15] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2304]
[2018-11-25 15:05:15] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-8395008]
[2018-11-25 15:05:59] | CInterfaceManager.cpp-L1208: getfcnt [2980], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:05:59] | CInterfaceManager.cpp-L1208: getfcnt [43], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:05:59] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-11-25 15:05:59] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-25 15:06:00] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-25 15:06:00] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-11-25 15:06:04] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:06:05] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:06:05] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:06:05] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:06:05] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 15:06:05] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:06:06] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1578084096]
[2018-11-25 15:06:06] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1569691392]
[2018-11-25 15:06:06] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:06:06] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1132455680]
[2018-11-25 15:06:06] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1140848384]
[2018-11-25 15:06:39] | CInterfaceManager.cpp-L1208: getfcnt [2280], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:06:39] | CInterfaceManager.cpp-L1208: getfcnt [33], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:06:40] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-25 15:06:40] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-11-25 15:06:40] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-25 15:06:40] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-11-25 15:11:31] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:11:31] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:11:31] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:11:31] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:11:31] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 15:11:31] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:11:31] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-637556992]
[2018-11-25 15:11:31] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-645949696]
[2018-11-25 15:11:31] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:11:31] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-947919104]
[2018-11-25 15:11:31] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-956311808]
[2018-11-25 15:12:41] | CInterfaceManager.cpp-L1208: getfcnt [3508], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:13:23] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:16:55] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:16:55] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:16:56] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:16:56] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:16:56] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 15:16:56] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:16:56] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1888442112]
[2018-11-25 15:16:56] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1677719296]
[2018-11-25 15:16:56] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:16:56] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1652541184]
[2018-11-25 15:16:56] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1644148480]
[2018-11-25 15:17:31] | CInterfaceManager.cpp-L1208: getfcnt [483], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:17:32] | CInterfaceManager.cpp-L1208: getfcnt [34], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:21:57] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:21:58] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:21:58] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:21:58] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:21:58] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 15:21:58] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:21:58] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1825531648]
[2018-11-25 15:21:58] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1833924352]
[2018-11-25 15:21:58] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:21:58] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1593825024]
[2018-11-25 15:21:58] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1585432320]
[2018-11-25 15:22:36] | CInterfaceManager.cpp-L1208: getfcnt [2422], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:22:36] | CInterfaceManager.cpp-L1208: getfcnt [37], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:22:36] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-11-25 15:22:36] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-25 15:22:37] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-11-25 15:22:37] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-25 15:29:40] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:29:40] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:29:41] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:29:41] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:29:41] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 15:29:41] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
